$distinct_id,creatorUsername,(1) Viewed Portfolio Details,(2) Started Copy Portfolio,(3) Copied Portfolio
0,@joshdubbing,0,0,0
1,@joshdubbing,0,0,0
2,@joshdubbing,0,0,0
