distinct_id,creatorUsername,paywall_views,stripe_views,subscriptions,portfolio_views,copy_starts,copies
0,@lawrencerfuller,,,,,,
1,@lawrencerfuller,,,,,,
2,@lawrencerfuller,,,,,,
0,@Bfergie79,,,,,,
1,@Bfergie79,,,,,,
2,@Bfergie79,,,,,,
