Funnel,Distinct ID,Time to First Copy
Time to First Copy,6D6CD320-29E1-414A-B7FB-F2264D445EDE,0
Time to First Copy,86D637A2-032E-4062-81FA-D1CD4F7891F8,0
Time to First Copy,7CB31617-0BF7-4889-87DA-F680B3C7ACE5,0
Time to First Copy,CD63A471-1B2A-4FC5-9B70-A3E1FFFA3B8F,0
Time to First Copy,540091805664423936,0
Time to First Copy,94f2eeb8-3d72-4bb7-873a-10dc5e95e4e6,0
Time to First Copy,E5F99E86-E1EB-486A-9E6A-DD902E2C090E,0
Time to First Copy,6AED7A68-D230-4BAB-8612-2C73FED85B2C,0
Time to First Copy,5B5756B3-4695-4E7B-A86F-3C7A4A4EE909,0
Time to First Copy,7A9E7013-7DF8-4268-B753-F255E033F926,0
Time to First Copy,27001808-A96E-4232-ABEB-A8C1CFC7DA41,0
Time to First Copy,549ddc06-f8ce-4403-a9ee-5104a24742e6,0
Time to First Copy,9BF396E0-3748-4325-9447-84276057391E,0
Time to First Copy,603B089D-88FC-4CF7-8F85-E49BEF8F3D61,0
Time to First Copy,8FDFC48C-41CF-4647-848B-537F48AB10F9,0
Time to First Copy,38805bbe-acf5-4f2c-8b2b-edb480a0caee,0
Time to First Copy,17e337a4-62e2-4f31-a91b-4e3236eab82a,0
Time to First Copy,7414654E-7B7C-4B6D-971B-28611F0D5F9F,0
Time to First Copy,B5328AC8-6BBC-4BA1-8331-6A70AA911F89,0
Time to First Copy,CE0642E6-7D42-4347-BEC0-A891ADBEC072,0
Time to First Copy,C8D88B02-A384-47D1-91A6-EBC25A0202AE,0
Time to First Copy,44F2DF83-3686-49C0-8C1B-D28E46B45F21,0
Time to First Copy,015C705D-751B-4974-9693-74128AA5940E,0
Time to First Copy,7830D37A-B3AA-4C14-8A71-66E8DDA54C2A,0
Time to First Copy,7de6a280-aa8e-44c6-830d-b7fb532e4e39,0
Time to First Copy,C9C36A4A-72B3-472A-B0FC-9E488B80E826,0
Time to First Copy,07A7259D-7DD4-4EC8-B496-EEC5EC2F286E,0
Time to First Copy,0C1FB525-742F-4E7D-853C-E6719EF7D6C6,0
Time to First Copy,540135733499715584,0
Time to First Copy,3b8db601-cbcb-4512-8b6e-15e3d3ad5cd1,0
Time to First Copy,3e300e47-2d6b-482c-a7af-e9430d913dc9,0
Time to First Copy,82e99c8c-d44c-46a4-8e02-2a9d1757e19e,0
Time to First Copy,d7b675b9-12c8-46f8-a1e7-d4105eeb2911,0
Time to First Copy,1DAE0CF8-6EA5-4280-AD56-EF1D10E53710,0
Time to First Copy,15932AB7-E66C-4C11-9A62-DF6C4C080CEC,0
Time to First Copy,ac60bc6e-e48f-41b3-9e5c-f85344d61fba,0
Time to First Copy,61f7d40d-1ee0-4169-bccf-91af0990b33c,0
Time to First Copy,2F144FDE-B581-4B01-89DA-216B50EF1EB6,0
Time to First Copy,ce51afb5-a217-461d-879b-ffa2eb33ba20,0
Time to First Copy,44747EB0-A65E-400B-83A9-D3D1BFF2EBAB,0
Time to First Copy,518618126738923520,0
Time to First Copy,82f61582-e44c-49e2-9e7e-4139840ed386,0
Time to First Copy,f3295986-6ac4-4829-982e-f5442f5e0109,0
Time to First Copy,A6406A73-2B7B-4671-A946-2896A18FFF92,0
Time to First Copy,be4775fe-df50-4334-aba7-4713acf2b5cb,0
Time to First Copy,8499B67F-6214-472F-A945-8C591809C13D,0
Time to First Copy,A62E519F-C0B3-4B1A-B704-FB2F9507A9AB,0
