Funnel,$distinct_id,Time to Linked Bank
Time to Linked Bank,$device:d5d3482c-b311-4c0e-bf4c-fe4840d8634e,
Time to Linked Bank,$device:3ce98870-b44a-45ed-8400-fc75f50466ff,0.006701388888888889
Time to Linked Bank,$device:430A3015-C2EB-4DE5-808E-4950A6713453,
Time to Linked Bank,$device:EC1C0878-B7F1-43B1-8C7F-FC950F3E0A16,
Time to Linked Bank,$device:CF69C1BB-0940-48C2-BF97-FC75DB6FC3D2,
Time to Linked Bank,$device:E3B89F18-0D2B-4964-8959-489FD9320FFF,
Time to Linked Bank,$device:dc6ed4cb-70bc-4a9c-ba16-46da2f8f875a,
Time to Linked Bank,$device:7519DDDF-BA4A-4408-B030-1EBB47A2C0C3,
Time to Linked Bank,$device:8BD8C10E-072E-4BAE-87C8-36DC6F1BA7DB,
Time to Linked Bank,$device:AE8E7642-52D5-46A4-8D0B-61FA0C7E375A,
Time to Linked Bank,$device:6B99CFC2-25A7-48D9-938D-DBF7E8B2EBB7,
Time to Linked Bank,$device:8032d409-5a82-466f-9cf8-3829d3884c12,
Time to Linked Bank,$device:6AED7A68-D230-4BAB-8612-2C73FED85B2C,
Time to Linked Bank,$device:A0B0250C-EAA7-4BF8-AB0D-2FA3ED0A0557,
Time to Linked Bank,$device:F3F639F0-5090-467B-AA5D-A1D6D5E7B21D,
Time to Linked Bank,$device:6a101271-014b-4550-90ce-c08d1439beab,
Time to Linked Bank,$device:CA61254F-2036-4215-B7B3-FF8962D75305,
Time to Linked Bank,$device:4D1A6FED-6799-42FD-847B-9A024A295A92,
Time to Linked Bank,$device:659a0502-9f04-4ba3-afcb-aef5f585f71b,
Time to Linked Bank,$device:589c3eab-28dc-4894-8cf0-fc38faf97822,
Time to Linked Bank,487949388551569408,
Time to Linked Bank,$device:5B603488-46D1-42B2-B246-535B55C51C9F,
Time to Linked Bank,$device:9246309A-A4DD-47F0-9147-7D019367129D,
Time to Linked Bank,$device:58537AB3-3C3F-4A74-8E31-EF0B765C518A,
Time to Linked Bank,$device:7f2d6eaf-b38e-4b15-9086-210198471973,
Time to Linked Bank,$device:DD3C0306-066F-4F31-853D-26DDBF7DD417,
Time to Linked Bank,$device:30A64CD9-2CE1-4B63-8D0B-C425FC0C28F3,
Time to Linked Bank,$device:8A34375D-CEEF-44B4-8F92-EAE6E5504F62,
Time to Linked Bank,$device:30E4809D-C5D9-420A-9E45-E52191B9DD5B,
Time to Linked Bank,540587955975020544,
Time to Linked Bank,$device:8416B5B7-FE3E-4011-B133-3A21C8F27282,0.017361111111111112
Time to Linked Bank,$device:7E7FB38F-5F93-4C5D-808C-B3BA65928A6A,
Time to Linked Bank,$device:2375B7D3-000E-43F4-AA09-468001018D02,
Time to Linked Bank,$device:b0b0860b-a14d-411c-a773-bb5e3ed996d3,
Time to Linked Bank,$device:B18607CC-B4E9-434E-B4B1-528FEC7A1EDB,
Time to Linked Bank,540668416407252992,
Time to Linked Bank,$device:b3e2ef0f-a531-4a8b-9135-f1c1d29e9a54,
Time to Linked Bank,$device:99C95C79-6020-4C5C-8B4E-3D24E1DF3A33,
Time to Linked Bank,$device:C86B0BAF-70B1-4BDF-B5AA-4DC64E9B31A4,
Time to Linked Bank,540581320615452672,0.018090277777777778
Time to Linked Bank,$device:f338d219-97aa-46ae-8364-dab0a89584ab,
Time to Linked Bank,$device:B72135C9-72EE-43FE-95C5-C63E24A3BD50,
Time to Linked Bank,$device:d7e09057-cd46-4ade-9858-c6ee47a1c9ed,
Time to Linked Bank,$device:8590EF21-4097-4842-8F5E-A125AF6C1033,
Time to Linked Bank,$device:B74E7955-E85E-4851-866D-BD10229CFA74,
Time to Linked Bank,540613890694635520,
Time to Linked Bank,$device:D790FEE4-0AD3-4F01-9910-7F42162AF401,
Time to Linked Bank,$device:4717f4c0-2c58-4814-bd1e-3c601764599b,
Time to Linked Bank,$device:6A892C17-1840-4CFC-9142-BF5B5018C4F8,
Time to Linked Bank,518618126738923520,
Time to Linked Bank,$device:996FA2CA-CF72-4C2D-B914-AA2DFA285738,
Time to Linked Bank,$device:41A27C2C-97A4-4654-9DAD-F2FF11AB7570,
Time to Linked Bank,$device:5320C609-A375-43BC-956D-EA391EA8B414,
Time to Linked Bank,$device:D638E6DD-F4AC-40A4-BF67-859A5D435F75,0.003587962962962963
Time to Linked Bank,$device:F477DBBE-7C3F-405B-969B-9E8330528F41,3.730208333333333
Time to Linked Bank,$device:32E150F3-2771-4384-9E09-236E8A4E95B7,
Time to Linked Bank,$device:008ED9D8-C2B7-485C-8EBD-9867A554F9F3,
Time to Linked Bank,$device:0AB760DA-2EDB-432A-BB83-3871424F281C,
Time to Linked Bank,$device:acd637d0-db33-4622-baed-c04a7f2ac9b7,
Time to Linked Bank,$device:F1084CEE-9258-4D0F-AF35-84B69E796B1B,
Time to Linked Bank,$device:EFBF0DD9-64C3-41D8-BCC3-8AFE72976580,
Time to Linked Bank,$device:77CAFA28-9295-49DE-9B28-7803017CD367,
Time to Linked Bank,$device:E8F0C5D1-25CD-42F3-B751-2BAB818D54A5,
Time to Linked Bank,540701602734551040,
Time to Linked Bank,$device:C91D61EB-E224-4A47-8AD1-38CA61A050ED,
Time to Linked Bank,$device:BF50F31A-AED2-4BB1-8528-6EAF739FE03A,0.011550925925925926
Time to Linked Bank,538709358757560320,
Time to Linked Bank,$device:9B75E7E8-D931-4010-BA7C-8A42DDBAD55E,
Time to Linked Bank,$device:bd60ec0a-acd6-41a7-b0f8-92c5c3414f9e,0.645613425925926
Time to Linked Bank,$device:D18CE004-035D-4E23-AB4D-608A12A51F3C,
Time to Linked Bank,448152602740842496,
Time to Linked Bank,$device:7BF7FE37-4FF4-4E62-B36C-271BDD2F36F9,
Time to Linked Bank,$device:7B084FB5-2412-4D2A-B5D8-5F148D0AAFB6,
Time to Linked Bank,$device:40CCEC94-0366-4FE7-8A8C-99ACDCAAE3F7,
Time to Linked Bank,539538768554549248,
Time to Linked Bank,$device:02C76DC1-BBAB-4E0E-AB17-9BE53311A41B,
Time to Linked Bank,$device:A6FABD93-0A1E-4C51-B826-DD3D87EA9837,
Time to Linked Bank,$device:B29F61FA-9BED-428F-9780-316CA40B6457,3.981099537037037
Time to Linked Bank,$device:77d74fe6-c1e5-4d68-bfff-f887df007735,
Time to Linked Bank,$device:214F383B-692E-4254-9B7A-C6D4287EB3A4,
Time to Linked Bank,$device:62170686-80D4-4B7B-96D7-AAC6F6B35AB9,
